old_subnet,new_subnet
172.20.17.0/24,10.92.17.0/24
172.20.18.0/24,10.92.18.0/24
172.20.19.0/24,10.90.19.0/24
172.20.20.0/24,10.90.20.0/24
172.20.21.0/24,10.90.21.0/24
172.20.22.0/24,10.90.22.0/24
172.20.23.0/24,10.90.23.0/24
172.20.24.0/28,10.90.24.0/28
172.20.25.0/24,10.90.25.0/24
172.20.26.192/28,10.92.26.192/28
172.20.26.208/28,10.90.26.208/28
172.20.26.232/29,10.92.26.232/29
172.20.26.240/28,10.90.26.240/28
172.20.27.0/25,10.90.27.0/25
172.20.27.128/25,10.90.27.128/25
172.20.28.0/24,10.90.28.0/24
172.20.29.0/28,10.90.29.0/28
172.23.0.0/24,10.90.64.0/24
172.23.1.0/24,10.90.65.0/24
172.23.2.0/24,10.90.66.0/24
172.23.4.0/24,10.90.68.0/24
172.23.5.0/24,10.90.69.0/24
172.23.6.0/24,10.92.6.0/24
172.23.7.0/24,10.92.7.0/24
172.23.8.0/24,10.92.8.0/24
172.23.9.0/24,10.90.73.0/24
172.23.10.0/24,10.90.74.0/24
172.23.11.0/24,10.90.75.0/24
172.23.12.0/24,10.90.76.0/24
172.23.13.0/24,10.90.77.0/24
172.23.14.0/24,10.90.78.0/24
172.23.15.0/24,10.90.79.0/24
172.23.17.0/24,10.90.81.0/24
172.23.18.0/23,10.90.82.0/23
172.23.20.0/23,10.90.84.0/23
172.23.21.0/24,10.90.85.0/24
172.23.22.0/23,10.90.86.0/23
172.23.24.0/23,10.90.88.0/23
172.23.25.0/24,10.90.89.0/24
172.23.26.0/24,10.90.90.0/24
172.23.27.0/24,10.90.91.0/24
172.23.28.0/24,10.90.92.0/24
172.23.29.0/28,10.90.93.0/28
172.23.30.0/28,10.90.94.0/28
172.23.30.16/28,10.90.94.16/28
172.23.31.0/24,10.90.95.0/24
172.23.32.0/23,10.90.96.0/23
172.23.34.0/24,10.90.98.0/24
172.23.35.0/24,10.90.99.0/24
172.23.36.0/24,10.90.100.0/24
172.23.37.0/24,10.90.101.0/24
172.23.38.0/24,10.90.102.0/24
172.23.39.0/24,10.90.103.0/24
172.23.40.0/24,10.90.104.0/24
172.24.11.0/24,10.90.139.0/24
172.24.13.0/24,10.90.141.0/24
172.24.16.0/21,10.90.144.0/21
172.24.24.0/24,10.92.24.0/24
172.24.25.0/24,10.90.153.0/24
172.24.29.0/26,10.90.157.0/26
172.24.30.0/24,10.92.30.0/24
172.24.31.0/24,10.92.31.0/24
172.24.32.0/24,10.92.32.0/24
172.24.34.0/25,10.92.34.0/25
172.26.4.0/24,10.90.95.0/24
172.26.10.0/24,10.90.98.0/24
172.26.197.0/24,10.90.99.0/24
172.26.203.0/24,10.90.100.0/24
172.26.206.0/24,10.90.101.0/24
172.26.208.0/23,10.90.96.0/23
172.26.210.0/24,10.90.102.0/24
172.26.212.0/24,10.90.103.0/24
172.26.220.0/24,10.90.104.0/24
172.27.68.0/24,10.90.28.0/24
172.27.69.0/28,10.90.29.0/28
172.31.1.0/24,10.92.65.0/24
172.31.2.0/24,10.92.130.0/24
172.31.3.0/24,10.90.195.0/24
172.31.4.0/24,10.92.68.0/24
172.31.5.0/24,10.92.69.0/24
172.31.6.0/24,10.90.198.0/24
172.31.7.0/24,10.90.199.0/24
172.31.8.0/24,10.90.200.0/24
172.31.9.0/24,10.92.73.0/24
172.31.10.0/24,10.90.202.0/24
172.31.11.0/24,10.90.203.0/24
172.31.12.0/24,10.90.204.0/24
172.31.13.0/24,10.90.205.0/24
172.31.14.0/24,10.92.78.0/24
172.31.15.0/24,10.92.79.0/24
172.31.17.128/26,10.92.81.128/26
172.31.18.192/28,10.92.82.192/28
172.31.18.208/28,10.90.210.208/28
172.31.18.232/29,10.92.82.232/29
172.31.18.240/28,10.90.210.240/28
172.31.19.0/25,10.90.211.0/25
172.31.19.128/25,10.90.211.128/25
172.31.20.0/24,10.90.212.0/24
172.31.21.0/24,10.90.213.0/24
172.31.22.0/27,10.90.214.0/27
172.31.23.0/29,10.90.215.0/29
192.168.12.0/24,10.86.44.0/24
192.168.13.0/24,10.86.45.0/24
192.168.16.0/24,10.86.48.0/24
192.168.17.0/24,10.86.49.0/24
192.168.18.0/24,10.86.50.0/24
192.168.20.0/24,10.86.52.0/24
192.168.21.0/25,10.92.149.0/25
192.168.21.128/25,10.92.149.128/25
10.0.0.0/21,10.80.0.0/21
10.0.8.0/23,10.80.8.0/23
10.0.10.0/24,10.80.10.0/24
10.0.11.0/24,10.80.11.0/24
10.0.12.0/24,10.80.12.0/24
10.0.13.0/24,10.80.13.0/24
10.0.14.0/24,10.80.14.0/24
10.0.15.0/24,10.80.15.0/24
10.0.16.0/22,10.80.16.0/22
10.0.20.0/24,10.80.20.0/24
10.0.21.0/24,10.80.21.0/24
10.0.22.0/24,10.80.22.0/24
10.0.23.0/24,10.80.23.0/24
10.0.24.0/24,10.80.24.0/24
10.0.25.0/24,10.80.25.0/24
10.0.26.0/24,10.80.26.0/24
10.0.27.0/24,10.80.27.0/24
10.0.28.0/24,10.80.28.0/24
10.0.29.0/24,10.80.29.0/24
10.0.30.0/24,10.80.30.0/24
10.0.31.0/24,10.80.31.0/24
10.0.32.0/24,10.80.32.0/24
10.0.33.0/24,10.80.33.0/24
10.0.36.0/24,10.80.36.0/24
10.0.37.0/24,10.80.37.0/24
10.0.38.0/24,10.80.38.0/24
10.0.39.0/25,10.80.39.0/25
10.0.39.128/25,10.80.39.128/25
10.0.40.0/21,10.80.40.0/21
10.0.48.0/21,10.80.48.0/21
10.0.56.0/21,10.80.56.0/21
10.0.64.0/24,10.80.64.0/24
10.0.65.0/24,10.80.65.0/24
10.0.66.0/24,10.80.66.0/24
10.0.67.0/24,10.80.67.0/24
10.0.68.0/23,10.80.68.0/23
10.0.70.0/23,10.80.70.0/23
10.0.72.0/25,10.80.72.0/25
10.0.72.128/25,10.80.72.128/25
10.0.73.0/24,10.80.73.0/24
10.0.76.0/24,10.80.76.0/24
10.0.77.0/24,10.80.77.0/24
10.0.78.0/24,10.80.78.0/24
10.0.79.0/24,10.80.79.0/24
10.0.80.0/24,10.80.80.0/24
10.0.81.0/24,10.80.81.0/24
10.0.82.0/24,10.80.82.0/24
10.0.83.0/24,10.80.83.0/24
10.0.84.0/22,10.80.84.0/22
10.0.88.0/24,10.80.88.0/24
10.0.89.0/24,10.80.89.0/24
10.0.90.0/24,10.80.90.0/24
10.0.91.0/24,10.80.91.0/24
10.0.92.0/23,10.80.92.0/23
10.0.94.0/28,10.80.94.0/28
10.0.94.16/28,10.80.94.16/28
10.0.95.0/24,10.80.95.0/24
10.0.96.0/24,10.80.96.0/24
10.0.97.0/24,10.80.97.0/24
10.0.98.0/24,10.80.98.0/24
10.0.99.0/24,10.80.99.0/24
10.0.100.0/25,10.80.100.0/25
10.0.100.128/25,10.80.100.128/25
10.0.101.0/24,10.80.101.0/24
10.0.102.0/23,10.80.102.0/23
10.0.108.0/24,10.80.108.0/24
10.0.110.0/24,10.80.110.0/24
10.0.111.0/28,10.80.111.0/28
10.0.111.16/28,10.80.111.16/28
10.0.111.32/28,10.80.111.32/28
10.0.111.64/27,10.80.111.64/27
10.0.111.128/26,10.80.111.128/26
10.0.112.0/22,10.80.112.0/22
10.0.117.0/24,10.80.117.0/24
10.0.118.0/24,10.80.118.0/24
10.0.119.0/24,10.80.119.0/24
10.0.120.0/24,10.80.120.0/24
10.0.121.0/24,10.80.121.0/24
10.0.122.0/23,10.80.122.0/23
10.0.124.0/24,10.80.124.0/24
10.0.125.0/24,10.80.125.0/24
10.0.126.0/24,10.80.126.0/24
10.0.127.0/24,10.80.127.0/24
10.0.128.0/24,10.80.128.0/24
10.0.129.0/24,10.80.129.0/24
10.0.130.0/24,10.80.130.0/24
10.0.131.0/24,10.80.131.0/24
10.0.132.0/27,10.80.132.0/27
10.0.133.0/24,10.80.133.0/24
10.0.134.0/23,10.80.134.0/23
10.0.136.0/22,10.80.136.0/22
10.0.140.0/24,10.80.140.0/24
10.0.141.0/24,10.80.141.0/24
10.0.142.0/23,10.80.142.0/23
10.0.144.0/23,10.80.144.0/23
10.0.146.0/23,10.80.146.0/23
10.0.148.0/24,10.80.148.0/24
10.0.149.0/24,10.80.149.0/24
10.0.150.0/24,10.80.150.0/24
10.0.152.0/22,10.80.152.0/22
10.0.156.0/22,10.80.156.0/22
10.0.160.0/19,10.80.160.0/19
10.0.192.0/22,10.80.192.0/22
10.0.198.0/23,10.80.198.0/23
10.0.200.0/24,10.80.200.0/24
10.0.201.0/24,10.80.201.0/24
10.0.202.0/24,10.80.202.0/24
10.0.203.0/24,10.80.203.0/24
10.0.206.0/24,10.80.206.0/24
10.0.207.0/24,10.80.207.0/24
10.0.210.0/24,10.80.210.0/24
10.0.211.0/24,10.80.211.0/24
10.0.212.0/24,10.80.212.0/24
10.0.215.0/24,10.80.215.0/24
10.0.216.0/24,10.80.216.0/24
10.0.217.0/24,10.80.217.0/24
10.0.218.0/24,10.80.218.0/24
10.0.219.0/24,10.80.219.0/24
10.0.220.0/24,10.80.220.0/24
10.0.221.0/24,10.80.221.0/24
10.0.222.0/24,10.80.222.0/24
10.0.223.0/24,10.80.223.0/24
10.0.224.0/24,10.80.224.0/24
10.0.225.0/24,10.80.225.0/24
10.0.226.0/24,10.80.226.0/24
10.0.252.192/26,10.80.252.192/26
10.0.253.0/28,10.80.253.0/28
10.0.253.16/28,10.80.253.16/28
10.0.253.32/28,10.80.253.32/28
10.0.254.0/24,10.80.254.0/24
10.0.255.0/24,10.80.255.0/24
10.1.1.0/24,10.81.1.0/24
10.1.3.152/30,10.81.3.152/30
10.1.3.156/30,10.81.3.156/30
10.1.3.160/30,10.81.3.160/30
10.1.3.164/30,10.81.3.164/30
10.1.3.168/30,10.81.3.168/30
10.1.3.172/30,10.81.3.172/30
10.1.5.0/29,10.81.5.0/29
10.1.5.120/29,10.81.5.120/29
10.1.6.0/25,10.81.6.0/25
10.1.6.128/25,10.81.6.128/25
10.2.0.0/24,10.82.0.0/24
10.2.1.0/24,10.82.1.0/24
10.2.2.0/24,10.82.2.0/24
10.2.3.0/24,10.82.3.0/24
10.2.4.0/22,10.82.4.0/22
10.2.8.0/22,10.82.8.0/22
10.2.16.0/22,10.82.16.0/22
10.2.20.0/22,10.82.20.0/22
10.2.24.0/22,10.82.24.0/22
10.2.28.0/24,10.82.28.0/24
10.2.29.0/24,10.82.29.0/24
10.2.30.0/29,10.82.30.0/29
10.2.30.8/29,10.82.30.8/29
10.2.30.16/28,10.82.30.16/28
10.2.30.32/27,10.82.30.32/27
10.2.30.64/26,10.82.30.64/26
10.2.30.128/25,10.82.30.128/25
10.2.31.0/29,10.82.31.0/29
10.2.31.8/29,10.82.31.8/29
10.2.31.16/28,10.82.31.16/28
10.2.31.32/27,10.82.31.32/27
10.2.31.64/26,10.82.31.64/26
10.2.31.128/25,10.82.31.128/25
10.2.61.0/24,10.82.61.0/24
10.2.62.0/24,10.82.62.0/24
10.2.63.0/24,10.82.63.0/24
10.3.0.11/32,10.83.0.11/32
10.3.0.12/32,10.83.0.12/32
10.3.0.16/30,10.83.0.16/30
10.3.0.20/30,10.83.0.20/30
10.3.0.24/30,10.83.0.24/30
10.3.0.28/30,10.83.0.28/30
10.3.0.32/30,10.83.0.32/30
10.3.0.36/30,10.83.0.36/30
10.3.0.40/30,10.83.0.40/30
10.3.0.44/30,10.83.0.44/30
10.3.0.48/30,10.83.0.48/30
10.3.0.52/30,10.83.0.52/30
10.3.0.56/30,10.83.0.56/30
10.3.0.60/30,10.83.0.60/30
10.3.0.64/30,10.83.0.64/30
10.3.0.68/30,10.83.0.68/30
10.3.0.72/30,10.83.0.72/30
10.3.0.76/30,10.83.0.76/30
10.3.0.80/30,10.83.0.80/30
10.3.0.84/30,10.83.0.84/30
10.3.0.88/30,10.83.0.88/30
10.3.0.92/30,10.83.0.92/30
10.3.0.96/30,10.83.0.96/30
10.3.0.100/30,10.83.0.100/30
10.3.0.104/30,10.83.0.104/30
10.3.0.108/30,10.83.0.108/30
10.3.0.112/30,10.83.0.112/30
10.3.0.116/30,10.83.0.116/30
10.3.0.120/30,10.83.0.120/30
10.3.0.124/30,10.83.0.124/30
10.3.0.128/30,10.83.0.128/30
10.3.0.132/30,10.83.0.132/30
10.3.0.136/30,10.83.0.136/30
10.3.0.140/30,10.83.0.140/30
10.3.0.144/30,10.83.0.144/30
10.3.0.148/30,10.83.0.148/30
10.3.0.152/30,10.83.0.152/30
10.3.0.156/30,10.83.0.156/30
10.3.0.160/30,10.83.0.160/30
10.3.0.164/30,10.83.0.164/30
10.3.0.168/30,10.83.0.168/30
10.3.0.172/30,10.83.0.172/30
10.3.0.176/30,10.83.0.176/30
10.3.0.180/30,10.83.0.180/30
10.3.0.184/30,10.83.0.184/30
10.3.0.188/30,10.83.0.188/30
10.3.0.192/30,10.83.0.192/30
10.3.0.196/30,10.83.0.196/30
10.3.0.200/30,10.83.0.200/30
10.3.0.204/30,10.83.0.204/30
10.3.0.208/30,10.83.0.208/30
10.3.0.212/30,10.83.0.212/30
10.3.0.216/30,10.83.0.216/30
10.3.0.220/30,10.83.0.220/30
10.3.0.224/30,10.83.0.224/30
10.3.0.228/30,10.83.0.228/30
10.3.0.232/30,10.83.0.232/30
10.3.0.240/30,10.83.0.240/30
10.3.0.244/30,10.83.0.244/30
10.3.0.248/30,10.83.0.248/30
10.3.0.252/30,10.83.0.252/30
10.3.1.0/24,10.83.1.0/24
10.3.8.128/30,10.83.8.128/30
10.3.9.0/24,10.83.9.0/24
10.3.10.0/24,10.83.10.0/24
10.3.11.0/24,10.83.11.0/24
10.3.30.0/30,10.83.30.0/30
10.3.30.4/30,10.83.30.4/30
10.3.30.8/30,10.83.30.8/30
10.3.30.12/30,10.83.30.12/30
10.3.30.16/30,10.83.30.16/30
10.3.30.20/30,10.83.30.20/30
10.3.30.24/30,10.83.30.24/30
10.3.30.28/30,10.83.30.28/30
10.3.30.32/30,10.83.30.32/30
10.3.30.36/30,10.83.30.36/30
10.3.30.40/30,10.83.30.40/30
10.3.30.44/30,10.83.30.44/30
10.3.30.48/30,10.83.30.48/30
10.3.30.52/30,10.83.30.52/30
10.3.30.56/30,10.83.30.56/30
10.3.30.60/30,10.83.30.60/30
10.3.30.64/30,10.83.30.64/30
10.3.30.68/30,10.83.30.68/30
10.3.30.72/30,10.83.30.72/30
10.3.30.76/30,10.83.30.76/30
10.3.30.80/30,10.83.30.80/30
10.3.30.84/30,10.83.30.84/30
10.3.30.88/30,10.83.30.88/30
10.3.30.92/30,10.83.30.92/30
10.3.30.96/30,10.83.30.96/30
10.3.30.100/30,10.83.30.100/30
10.3.30.104/30,10.83.30.104/30
10.3.30.108/30,10.83.30.108/30
10.3.30.112/30,10.83.30.112/30
10.3.30.116/30,10.83.30.116/30
10.3.30.120/30,10.83.30.120/30
10.3.30.124/30,10.83.30.124/30
10.3.30.128/30,10.83.30.128/30
10.3.31.0/30,10.83.31.0/30
10.3.31.4/30,10.83.31.4/30
10.3.31.8/30,10.83.31.8/30
10.3.31.12/30,10.83.31.12/30
10.3.31.16/30,10.83.31.16/30
10.3.31.20/30,10.83.31.20/30
10.3.40.0/24,10.83.40.0/24
10.3.41.0/24,10.83.41.0/24
10.3.44.0/26,10.83.44.0/26
10.3.46.0/27,10.83.46.0/27
10.3.48.0/25,10.83.48.0/25
10.3.52.0/27,10.83.52.0/27
10.3.56.0/25,10.83.56.0/25
10.3.61.0/27,10.83.61.0/27
10.3.129.0/25,10.83.129.0/25
10.3.129.128/26,10.83.129.128/26
10.3.129.192/26,10.83.129.192/26
10.5.0.0/22,10.85.0.0/22
10.5.4.0/22,10.85.4.0/22
10.5.8.0/22,10.85.8.0/22
10.5.12.0/24,10.85.12.0/24
10.5.13.0/24,10.85.13.0/24
10.5.14.0/29,10.85.14.0/29
10.5.14.8/29,10.85.14.8/29
10.5.14.16/28,10.85.14.16/28
10.5.14.32/27,10.85.14.32/27
10.5.14.64/26,10.85.14.64/26
10.5.14.128/29,10.85.14.128/29
10.5.14.136/29,10.85.14.136/29
10.5.14.144/28,10.85.14.144/28
10.5.14.160/27,10.85.14.160/27
10.5.14.192/26,10.85.14.192/26
10.5.15.0/29,10.85.15.0/29
10.5.15.8/29,10.85.15.8/29
10.5.15.16/28,10.85.15.16/28
10.5.15.32/27,10.85.15.32/27
10.5.15.64/26,10.85.15.64/26
10.5.15.128/29,10.85.15.128/29
10.5.15.136/29,10.85.15.136/29
10.5.15.144/28,10.85.15.144/28
10.5.15.160/27,10.85.15.160/27
10.5.15.192/26,10.85.15.192/26
10.5.16.0/22,10.85.16.0/22
10.5.20.0/29,10.85.20.0/29
10.5.20.8/29,10.85.20.8/29
10.5.20.16/28,10.85.20.16/28
10.5.20.32/27,10.85.20.32/27
10.5.20.64/26,10.85.20.64/26
10.5.20.128/25,10.85.20.128/25
10.5.21.0/29,10.85.21.0/29
10.5.21.8/29,10.85.21.8/29
10.5.21.16/28,10.85.21.16/28
10.5.21.32/27,10.85.21.32/27
10.5.21.64/26,10.85.21.64/26
10.5.21.128/25,10.85.21.128/25
10.5.22.0/29,10.85.22.0/29
10.5.22.8/29,10.85.22.8/29
10.5.22.16/28,10.85.22.16/28
10.5.22.32/27,10.85.22.32/27
10.5.22.64/26,10.85.22.64/26
10.5.22.128/25,10.85.22.128/25
10.5.23.0/29,10.85.23.0/29
10.5.23.8/29,10.85.23.8/29
10.5.23.16/28,10.85.23.16/28
10.5.23.32/27,10.85.23.32/27
10.5.23.64/26,10.85.23.64/26
10.5.23.128/25,10.85.23.128/25
10.5.61.0/24,10.85.61.0/24
10.5.62.0/24,10.85.62.0/24
10.5.63.0/24,10.85.63.0/24
10.7.0.0/22,10.87.0.0/22
10.7.4.0/22,10.87.4.0/22
10.7.8.0/22,10.87.8.0/22
10.7.12.0/24,10.87.12.0/24
10.7.13.0/24,10.87.13.0/24
10.7.14.0/24,10.87.14.0/24
10.7.15.0/24,10.87.15.0/24
10.7.16.0/24,10.87.16.0/24
10.7.17.0/24,10.87.17.0/24
10.7.18.0/24,10.87.18.0/24
10.7.19.0/24,10.87.19.0/24
10.7.20.0/24,10.87.20.0/24
10.7.21.0/24,10.87.21.0/24
10.7.22.0/24,10.87.22.0/24
10.7.23.0/24,10.87.23.0/24
10.7.24.0/24,10.87.24.0/24
10.7.25.0/24,10.87.25.0/24
10.7.26.0/24,10.87.26.0/24
10.7.27.0/24,10.87.27.0/24
10.7.28.0/24,10.87.28.0/24
10.7.29.0/24,10.87.29.0/24
10.7.30.0/24,10.87.30.0/24
10.7.31.0/24,10.87.31.0/24
10.7.32.0/24,10.87.32.0/24
10.7.33.0/24,10.87.33.0/24
10.7.35.0/24,10.87.35.0/24
10.7.36.0/24,10.87.36.0/24
10.7.37.0/24,10.87.37.0/24
10.7.38.0/24,10.87.38.0/24
10.7.39.0/24,10.87.39.0/24
10.7.40.0/23,10.87.40.0/23
10.7.42.0/23,10.87.42.0/23
10.7.44.0/24,10.87.44.0/24
10.7.45.0/24,10.87.45.0/24
10.7.46.0/24,10.87.46.0/24
10.7.47.0/24,10.87.47.0/24
10.7.48.0/23,10.87.48.0/23
10.7.50.0/24,10.87.50.0/24
10.7.51.0/24,10.87.51.0/24
10.7.52.0/24,10.87.52.0/24
10.7.53.0/24,10.87.53.0/24
10.7.54.0/24,10.87.54.0/24
10.7.55.0/24,10.87.55.0/24
10.7.56.0/22,10.87.56.0/22
10.7.60.0/23,10.87.60.0/23
10.7.62.0/24,10.87.62.0/24
10.7.63.0/24,10.87.63.0/24
10.7.64.0/23,10.87.64.0/23
10.7.66.0/24,10.87.66.0/24
10.7.67.0/24,10.87.67.0/24
10.7.68.0/24,10.87.68.0/24
10.7.72.0/22,10.87.72.0/22
10.7.77.0/24,10.87.77.0/24
10.7.96.0/24,10.87.96.0/24
10.7.98.0/24,10.87.98.0/24
10.7.99.0/24,10.87.99.0/24
10.7.100.0/24,10.87.100.0/24
10.7.101.0/24,10.87.101.0/24
10.7.102.0/25,10.87.102.0/25
10.7.102.128/27,10.87.102.128/27
10.7.110.0/24,10.87.110.0/24
10.7.111.0/24,10.87.111.0/24
10.7.112.0/24,10.87.112.0/24
10.7.117.0/24,10.87.117.0/24
10.7.118.0/24,10.87.118.0/24
10.7.120.0/24,10.87.120.0/24
10.7.121.0/24,10.87.121.0/24
10.7.122.0/24,10.87.122.0/24
10.7.123.0/24,10.87.123.0/24
10.7.126.0/24,10.87.126.0/24
10.7.127.0/24,10.87.127.0/24
10.7.198.0/23,10.87.198.0/23
10.7.200.0/24,10.87.200.0/24
10.7.205.0/24,10.87.205.0/24
10.7.211.0/24,10.87.211.0/24
10.7.253.0/28,10.87.253.0/28
10.7.253.16/28,10.87.253.16/28
10.7.253.32/28,10.87.253.32/28
10.7.253.48/28,10.87.253.48/28
10.7.253.64/28,10.87.253.64/28
10.7.253.128/28,10.87.253.128/28
10.7.253.144/29,10.87.253.144/29
10.7.253.152/29,10.87.253.152/29
10.7.253.160/28,10.87.253.160/28
10.7.253.176/28,10.87.253.176/28
10.7.253.192/28,10.87.253.192/28
10.7.253.208/28,10.87.253.208/28
10.7.253.224/29,10.87.253.224/29
10.7.253.232/29,10.87.253.232/29
10.7.253.240/29,10.87.253.240/29
10.7.253.248/29,10.87.253.248/29
10.7.254.0/24,10.87.254.0/24
10.7.255.0/24,10.87.255.0/24
10.8.0.0/24,10.88.0.0/24
10.8.2.0/25,10.88.2.0/25
10.8.2.128/25,10.88.2.128/25
10.8.3.0/24,10.88.3.0/24
10.8.6.0/24,10.88.6.0/24
10.8.7.0/24,10.88.7.0/24
10.8.11.0/24,10.88.11.0/24
10.8.13.0/24,10.88.13.0/24
10.8.255.0/24,10.88.255.0/24
10.10.161.0/24,10.90.161.0/24
10.100.1.0/24,10.91.1.0/24
10.100.2.0/24,10.91.2.0/24
10.100.8.0/21,10.91.8.0/21
10.100.16.0/24,10.91.16.0/24
10.100.122.0/23,10.91.122.0/23
10.100.124.0/23,10.91.124.0/23
10.208.0.0/23,10.80.8.0/23
10.208.12.0/24,10.80.10.0/24
10.208.21.0/24,10.80.11.0/24
10.208.22.0/24,10.80.12.0/24
10.208.23.0/24,10.80.13.0/24
10.208.24.0/24,10.80.14.0/24
10.208.25.0/24,10.80.15.0/24
10.208.29.0/24,10.80.24.0/24
10.208.32.0/24,10.80.29.0/24
10.208.33.0/24,10.80.150.0/24
10.208.36.0/23,10.80.122.0/23
10.208.43.0/24,10.80.118.0/24
10.208.51.0/24,10.80.125.0/24
10.208.52.0/22,10.80.156.0/22
10.208.65.0/24,10.80.126.0/24
10.208.67.0/24,10.80.128.0/24
10.208.72.0/24,10.80.133.0/24
10.208.74.0/23,10.80.134.0/23
10.208.98.0/24,10.80.141.0/24
172.17.0.0/23,10.92.0.0/23
172.17.2.0/24,10.92.2.0/24
172.17.3.0/24,10.92.67.0/24
172.17.4.0/24,10.92.132.0/24
172.17.5.0/24,10.90.5.0/24
172.17.6.0/24,10.90.6.0/24
172.17.8.0/24,10.90.8.0/24
172.17.9.0/24,10.90.9.0/24
172.17.11.0/28,10.90.11.0/28
172.17.12.0/24,10.90.12.0/24
172.17.13.0/24,10.90.13.0/24
172.17.15.0/25,10.90.15.0/25
172.17.65.192/28,10.90.1.192/28
172.17.65.208/28,10.90.1.208/28
172.17.65.232/29,10.92.129.232/29
172.17.65.240/28,10.90.1.240/28
172.17.66.0/25,10.90.2.0/25
172.17.66.128/25,10.90.2.128/25
172.17.129.0/24,10.92.193.0/24
172.17.130.0/24,10.92.66.0/24
172.20.3.0/24,10.92.3.0/24
172.20.4.0/24,10.92.4.0/24
172.20.9.0/24,10.92.9.0/24
172.20.10.0/24,10.92.10.0/24
172.20.16.0/24,10.92.16.0/24
172.20.17.0/24,10.92.17.0/24
172.20.18.0/24,10.92.18.0/24
172.20.19.0/24,10.90.19.0/24
172.20.20.0/24,10.90.20.0/24
172.20.21.0/24,10.90.21.0/24
172.20.22.0/24,10.90.22.0/24
172.20.23.0/24,10.90.23.0/24
172.20.24.0/28,10.90.24.0/28
172.20.25.0/24,10.90.25.0/24
172.20.26.192/28,10.92.26.192/28
172.20.26.208/28,10.90.26.208/28
172.20.26.232/29,10.92.26.232/29
172.20.26.240/28,10.90.26.240/28
172.20.27.0/25,10.90.27.0/25
172.20.27.128/25,10.90.27.128/25
172.20.28.0/24,10.90.28.0/24
172.20.29.0/28,10.90.29.0/28
172.23.0.0/24,10.90.64.0/24
172.23.1.0/24,10.90.65.0/24
172.23.2.0/24,10.90.66.0/24
172.23.4.0/24,10.90.68.0/24
172.23.5.0/24,10.90.69.0/24
172.23.6.0/24,10.92.6.0/24
172.23.7.0/24,10.92.7.0/24
172.23.8.0/24,10.92.8.0/24
172.23.9.0/24,10.90.73.0/24
172.23.10.0/24,10.90.74.0/24
172.23.11.0/24,10.90.75.0/24
172.23.12.0/24,10.90.76.0/24
172.23.13.0/24,10.90.77.0/24
172.23.14.0/24,10.90.78.0/24
172.23.15.0/24,10.90.79.0/24
172.23.17.0/24,10.90.81.0/24
172.23.18.0/23,10.90.82.0/23
172.23.20.0/23,10.90.84.0/23
172.23.21.0/24,10.90.85.0/24
172.23.22.0/23,10.90.86.0/23
172.23.24.0/23,10.90.88.0/23
172.23.25.0/24,10.90.89.0/24
172.23.26.0/24,10.90.90.0/24
172.23.27.0/24,10.90.91.0/24
172.23.28.0/24,10.90.92.0/24
172.23.29.0/28,10.90.93.0/28
172.23.30.0/28,10.90.94.0/28
172.23.30.16/28,10.90.94.16/28
172.23.31.0/24,10.90.95.0/24
172.23.32.0/23,10.90.96.0/23
172.23.34.0/24,10.90.98.0/24
172.23.35.0/24,10.90.99.0/24
172.23.36.0/24,10.90.100.0/24
172.23.37.0/24,10.90.101.0/24
172.23.38.0/24,10.90.102.0/24
172.23.39.0/24,10.90.103.0/24
172.23.40.0/24,10.90.104.0/24
172.24.11.0/24,10.90.139.0/24
172.24.13.0/24,10.90.141.0/24
172.24.16.0/21,10.90.144.0/21
172.24.24.0/24,10.92.24.0/24
172.24.25.0/24,10.90.153.0/24
172.24.29.0/26,10.90.157.0/26
172.24.30.0/24,10.92.30.0/24
172.24.31.0/24,10.92.31.0/24
172.24.32.0/24,10.92.32.0/24
172.24.34.0/25,10.92.34.0/25
172.26.4.0/24,10.90.95.0/24
172.26.10.0/24,10.90.98.0/24
172.26.197.0/24,10.90.99.0/24
172.26.203.0/24,10.90.100.0/24
172.26.206.0/24,10.90.101.0/24
172.26.208.0/23,10.90.96.0/23
172.26.210.0/24,10.90.102.0/24
172.26.212.0/24,10.90.103.0/24
172.26.220.0/24,10.90.104.0/24
172.27.68.0/24,10.90.28.0/24
172.27.69.0/28,10.90.29.0/28
172.31.1.0/24,10.92.65.0/24
172.31.2.0/24,10.92.130.0/24
172.31.3.0/24,10.90.195.0/24
172.31.4.0/24,10.92.68.0/24
172.31.5.0/24,10.92.69.0/24
172.31.6.0/24,10.90.198.0/24
172.31.7.0/24,10.90.199.0/24
172.31.8.0/24,10.90.200.0/24
172.31.9.0/24,10.92.73.0/24
172.31.10.0/24,10.90.202.0/24
172.31.11.0/24,10.90.203.0/24
172.31.12.0/24,10.90.204.0/24
172.31.13.0/24,10.90.205.0/24
172.31.14.0/24,10.92.78.0/24
172.31.15.0/24,10.92.79.0/24
172.31.17.128/26,10.92.81.128/26
172.31.18.192/28,10.92.82.192/28
172.31.18.208/28,10.90.210.208/28
172.31.18.232/29,10.92.82.232/29
172.31.18.240/28,10.90.210.240/28
172.31.19.0/25,10.90.211.0/25
172.31.19.128/25,10.90.211.128/25
172.31.20.0/24,10.90.212.0/24
172.31.21.0/24,10.90.213.0/24
172.31.22.0/27,10.90.214.0/27
